Index,Name,Emergency,HI70kHz_BackupNoUPCZB,HI70kHz,HI60kHz,HI50kHz,HI40kHz,HI30kHz,HI20kHz,HI10kHz,HI50kHz_BackupNoMuShower,HI50kHz_BackupNoDMesons,HI70kHz_ZDC,HI60kHz_ZDC,HI50kHz_ZDC,HI40kHz_ZDC,HI30kHz_ZDC,HI20kHz_ZDC,HI10kHz_ZDC,HI70kHz_Backup35kHzRate,HI60kHz_Backup35kHzRate,HI50kHz_Backup35kHzRate,HI40kHz_Backup35kHzRate,HI30kHz_Backup35kHzRate,HI20kHz_Backup35kHzRate,HI10kHz_Backup35kHzRate,HI70kHz_BackupMB15kHz,HI60kHz_BackupMB15kHz,HI50kHz_BackupMB15kHz,HI40kHz_BackupMB15kHz,HI30kHz_BackupMB15kHz,HI20kHz_BackupMB15kHz,nBunches746_HI34kHz,nBunches746_HI34kHz_BackupNoDMesons,nBunches746_HI34kHz_Test40kHzRate,nBunches746_HI34kHz_Test50kHzRate,nBunches394_HI18kHz,nBunches394_HI18kHz_BackupNoDMesons,nBunches303_HI14kHz,nBunches303_HI14kHz_BackupNoDMesons,nBunches170_HI8kHz,nBunches170_HI8kHz_BackupNoDMesons,nBunches170_HI8kHz_BackupReducedReco,nBunches170_HI8kHz_BackupNoReco,nBunches142_HI7kHz,nBunches142_HI7kHz_BackupNoDMesons,nBunches142_HI7kHz_BackupReducedReco,nBunches142_HI7kHz_BackupNoReco,nBunches58_HI3kHz,nBunches58_HI3kHz_BackupNoDMesons,nBunches58_HI3kHz_BackupReducedReco,nBunches58_HI3kHz_BackupNoReco,nBunches58_HI3kHz_TestHighRandoms,nBunches42_HI2kHz,nBunches42_HI2kHz_BackupNoDMesons,nBunches42_HI2kHz_BackupReducedReco,nBunches42_HI2kHz_BackupNoReco,nBunches42_HI2kHz_TestHighRandoms
30,L1_UnpairedBunchBptxMinus,0,170927.0,170927.0,170927.0,170927.0,170927.0,170927.0,170927.0,170927,170927.0,170927.0,170927.0,170927.0,170927.0,170927.0,170927.0,170927.0,170927.0,170927.0,170927.0,170927.0,170927.0,170927.0,170927.0,170927.0,170927.0,170927.0,170927.0,170927.0,170927.0,170927.0,136069.0,136069.0,136069.0,136069.0,64109.0,64109.0,166429.0,166429.0,64109.0,64109.0,64109.0,64109.0,95597.0,95597.0,95597.0,95597.0,32611.0,32611.0,32611.0,32611.0,32611.0,46103.0,46103.0,46103.0,46103.0,46103.0
31,L1_UnpairedBunchBptxPlus,0,170927.0,170927.0,170927.0,170927.0,170927.0,170927.0,170927.0,170927,170927.0,170927.0,170927.0,170927.0,170927.0,170927.0,170927.0,170927.0,170927.0,170927.0,170927.0,170927.0,170927.0,170927.0,170927.0,170927.0,170927.0,170927.0,170927.0,170927.0,170927.0,170927.0,136069.0,136069.0,136069.0,136069.0,64109.0,64109.0,166429.0,166429.0,64109.0,64109.0,64109.0,64109.0,95597.0,95597.0,95597.0,95597.0,32611.0,32611.0,32611.0,32611.0,32611.0,46103.0,46103.0,46103.0,46103.0,46103.0
32,L1_FirstCollisionInTrain,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,L1_LastCollisionInTrain,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,L1_FirstCollisionInOrbit,0,1123.0,1123.0,1123.0,1123.0,1123.0,1123.0,1123.0,1123,1123.0,1123.0,1123.0,1123.0,1123.0,1123.0,1123.0,1123.0,1123.0,1123.0,1123.0,1123.0,1123.0,1123.0,1123.0,1123.0,1123.0,1123.0,1123.0,1123.0,1123.0,1123.0,1123.0,1123.0,1123.0,1123.0,1123.0,1123.0,1123.0,1123.0,1123.0,1123.0,1123.0,1123.0,1123.0,1123.0,1123.0,1123.0,1123.0,1123.0,1123.0,1123.0,1123.0,1123.0,1123.0,1123.0,1123.0,1123.0
35,L1_FirstCollisionInOrbit_Centrality30_100_BptxAND,0,1123.0,1123.0,1123.0,1123.0,1123.0,1123.0,1123.0,1123,1123.0,1123.0,1123.0,1123.0,1123.0,1123.0,1123.0,1123.0,1123.0,1123.0,1123.0,1123.0,1123.0,1123.0,1123.0,1123.0,1123.0,1123.0,1123.0,1123.0,1123.0,1123.0,1123.0,1123.0,1123.0,1123.0,1123.0,1123.0,1123.0,1123.0,1123.0,1123.0,1123.0,1123.0,1123.0,1123.0,1123.0,1123.0,1123.0,1123.0,1123.0,1123.0,1123.0,1123.0,1123.0,1123.0,1123.0,1123.0
36,L1_Centrality_30_100_MinimumBiasHF1_AND_BptxAND,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,L1_Centrality_50_100_MinimumBiasHF1_AND_BptxAND,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,L1_ETMHF100,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,L1_ETT2000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
